territorio histórico de origen;territorio histórico de destino;Anualidad;Flujo_migratorio
C.A. de Euskadi;C.A. de Euskadi;1992;20945
C.A. de Euskadi;C.A. de Euskadi;1993;23904
C.A. de Euskadi;C.A. de Euskadi;1994;25033
C.A. de Euskadi;C.A. de Euskadi;1995;27806
C.A. de Euskadi;C.A. de Euskadi;1996;28243
C.A. de Euskadi;C.A. de Euskadi;1997;28148
C.A. de Euskadi;C.A. de Euskadi;1998;31034
C.A. de Euskadi;C.A. de Euskadi;1999;31810
C.A. de Euskadi;C.A. de Euskadi;2000;31813
C.A. de Euskadi;C.A. de Euskadi;2001;35102
C.A. de Euskadi;C.A. de Euskadi;2002;37186
C.A. de Euskadi;C.A. de Euskadi;2003;38934
C.A. de Euskadi;C.A. de Euskadi;2004;41231
C.A. de Euskadi;C.A. de Euskadi;2005;44522
C.A. de Euskadi;C.A. de Euskadi;2006;46318
C.A. de Euskadi;C.A. de Euskadi;2007;44995
C.A. de Euskadi;C.A. de Euskadi;2008;44176
C.A. de Euskadi;C.A. de Euskadi;2009;45372
C.A. de Euskadi;C.A. de Euskadi;2010;47544
C.A. de Euskadi;C.A. de Euskadi;2011;48779
C.A. de Euskadi;C.A. de Euskadi;2012;48608
C.A. de Euskadi;C.A. de Euskadi;2013;48796
C.A. de Euskadi;C.A. de Euskadi;2014;50409
C.A. de Euskadi;C.A. de Euskadi;2015;50238
C.A. de Euskadi;C.A. de Euskadi;2016;49205
C.A. de Euskadi;C.A. de Euskadi;2017;50369
C.A. de Euskadi;C.A. de Euskadi;2018;52216
C.A. de Euskadi;C.A. de Euskadi;2019;53255
C.A. de Euskadi;C.A. de Euskadi;2020;50754
C.A. de Euskadi;C.A. de Euskadi;1991;23085
C.A. de Euskadi;Araba/Álava;1992;2036
C.A. de Euskadi;Araba/Álava;1993;2575
C.A. de Euskadi;Araba/Álava;1994;2545
C.A. de Euskadi;Araba/Álava;1995;2645
C.A. de Euskadi;Araba/Álava;1996;2845
